RPPS,Input1,Output1,Output2,Output3,Ano
ALTO PARAISO DE GOIAS_GO,156152.14,98,20923803.25,3363316.14,2019
AMAPORA_PR,102775.44,78,23211787.909999996,14255802.86,2019
ANDIRA_PR,477661.33,6,24950306.52,35111624.84,2019
AQUIDAUANA_MS,402880.48,306,27950642.349999998,44918277.3,2019
ARMACAO DOS BUZIOS_RJ,911599.5,102,30294863.869999997,70346641.36999999,2019
ASSIS_SP,838715.43,82,36405924.3,199908966.41,2019
ATALAIA_AL,450271.71,616,20517234.2,82196.47,2019
BARRO ALTO_GO,363099.64,173,21677419.22,11622098.71,2019
BEBERIBE_CE,948001.44,337,27366761.419999998,45416676.93,2019
BOA VISTA_RR,2486345.34,550,92468621.46000001,598770493.9,2019
BOM DESPACHO_MG,565714.84,416,25667811.419999998,30619988.84,2019
CAAPORA_PB,356404.19,392,20509295.959999997,17189.49,2019
CAARAPO_MS,417240.12,148,23806525.25,21867468.53,2019
CACADOR_SC,969664.2,532,35141927.51,108644098.56,2019
CACHOEIRINHA_PE,339877.63,99,22908101.82,16571243.52,2019
CAMACARI_BA,5260029.64,1970,64413689.28,303383161.08,2019
CANTAGALO_RJ,620625.28,671,22463683.11,12234962.86,2019
CARDOSO MOREIRA_RJ,237207.37,191,27883035.09,87488225.01999998,2019
CARIRIACU_CE,531285.09,102,22170840.13,13082367.83,2019
CERES_GO,100492.28,195,21996596.529999997,10914447.02,2019
CERQUEIRA CESAR_SP,399279.26,198,25642146.49,33327623.54,2019
CHOPINZINHO_PR,5440.0,27,22579097.549999997,8659415.59,2019
CONCEICAO DE MACABU_RJ,560516.41,360,27047395.65,47691351.7,2019
CRATO_CE,975199.26,622,29905571.93,81540667.62,2019
CRUZEIRO DO OESTE_PR,73968.52,213,21878066.979999997,10579289.98,2019
CURITIBANOS_SC,260446.6,440,26567315.959999997,38512809.43,2019
DEMERVAL LOBAO_PI,129694.79,29,20814161.939999998,2914278.57,2019
DOMINGOS MARTINS_ES,367318.68,189,28924680.54,62306453.19,2019
DUAS BARRAS_RJ,402891.89,208,27511931.849999998,37398157.54,2019
ENTRE-IJUIS_RS,187799.26,135,24666932.409999996,39417415.54,2019
ESCADA_PE,674152.59,718,21379387.7,6974405.99,2019
ESPERA FELIZ_MG,290987.77,208,22008236.689999998,12917145.62,2019
ESPERANTINA_PI,239559.19,193,21742073.459999997,15191370.88,2019
ESPIGAO DO OESTE_RO,845406.82,84,29205730.939999998,56389176.49,2019
EUSEBIO_CE,1048757.35,238,35135099.379999995,129138306.06,2019
FERNANDOPOLIS_SP,1602887.32,563,33575440.42,77244160.35,2019
FLORIANOPOLIS_SC,4063984.61,3259,22191895.75,19550022.96,2019
FORMOSA_GO,564799.06,568,20657106.229999997,9349503.02,2019
FOZ DO IGUACU_PR,3108923.79,2232,62096162.07,346367764.26,2019
GOIANIRA_GO,546628.28,202,24894355.299999997,34719245.16,2019
GOIAS_GO,37133089.47,59485,43608557.75,37600686.69,2019
GONCALVES_MG,94735.77,16,20756520.029999997,1417809.0,2019
HOLAMBRA_SP,402194.46,122,28099582.25,62518035.17999999,2019
IGUATAMA_MG,108881.88,107,20511459.41,19848.73,2019
IRAUCUBA_CE,437154.45,35,24961310.779999997,29554008.51,2019
ITACURUBA_PE,144671.54,39,22168577.38,13771342.78,2019
ITAPIPOCA_CE,1886143.94,414,34723227.06,103043888.39,2019
IVOTI_RS,104433.07,86,27747476.18,62935125.29,2019
JALES_SP,503998.46,558,25280297.18,39788464.26,2019
JANUARIA_MG,390677.82,207,24024238.09,22591833.19,2019
JAPURA_PR,146676.52,5,23057997.709999997,16316442.75,2019
JARU_RO,617258.97,246,31109477.259999998,93278939.44,2019
JOACABA_SC,261746.63,484,33607309.39,88611519.73,2019
LAGOA SECA_PB,335644.69,302,20557075.54,210960.38,2019
LAGOAO_RS,69533.91,88,22634415.82,18829192.12,2019
LIBERDADE_MG,103594.82,81,20511406.139999997,10352.35,2019
LIMEIRA_SP,4327727.46,1585,80116965.5,468704095.79,2019
MAFRA_SC,900214.12,384,25270937.4,39660117.8,2019
MANGARATIBA_RJ,676899.87,640,20750065.369999997,2913017.95,2019
MANTENA_MG,370083.66,284,23324273.36,25084037.79,2019
MARABA_PA,2227236.07,863,101648973.53,435118646.92,2019
MARACAJU_MS,984817.6,309,30110299.659999996,66707914.39,2019
MARILIA_SP,1683130.25,2063,21967437.689999998,20280717.63,2019
MARINGA_PR,3476026.26,3274,79831095.84,330473678.98,2019
MATO GROSSO_MT,25639859.15,29975,21613319.27,31070729.1,2019
MATO GROSSO DO SUL_MS,5294674.08,24801,21081648.5,74026702.1,2019
MEDIANEIRA_PR,188808.82,131,25832757.74,33716334.84,2019
MILAGRES_CE,367629.86,22,22659379.419999998,12924779.36,2019
MINACU_GO,658869.95,362,21252895.389999997,8519870.29,2019
MIRA ESTRELA_SP,119189.92,48,22587922.93,17695532.46,2019
MONTE ALEGRE DE MINAS_MG,433282.47,251,20860323.47,4359265.18,2019
MORENO_PE,503211.5,581,20532101.31,206681.97,2019
MORRO AGUDO_SP,490868.53,395,23574313.79,20365950.14,2019
NOVA ESPERANCA DO SUL_RS,52322.78,26,22633917.61,17659071.71,2019
NOVO HORIZONTE DO OESTE_RO,298307.57,36,21961936.81,12698249.1,2019
OLIVEIRA_MG,651477.52,451,26431809.119999997,38187387.27,2019
OSORIO_RS,31324.76,533,35812186.4,126570467.37,2019
PALMEIRA D'OESTE_SP,143365.09,154,20862592.459999997,4375893.390000001,2019
PARAIBUNA_SP,457272.26,232,23102310.669999998,58855026.43999999,2019
PARAIPABA_CE,583850.92,77,24473360.14,25226525.64,2019
PARISI_SP,137958.6,53,22146406.77,17819547.74,2019
PAROBE_RS,382770.57,389,29421682.78,57685451.14999999,2019
PATOS_PB,556323.46,642,20592807.68,7171.73,2019
PATY DO ALFERES_RJ,478440.63,286,37565073.91,104786808.93,2019
PIAUI_PI,13974281.43,37332,21233843.34,3984640.81,2019
PICOS_PI,617962.12,283,26786761.919999998,57749029.61,2019
PIRACAIA_SP,732753.58,169,35516389.79,72573208.74,2019
POSSE_GO,297817.87,322,22267337.549999997,16057103.35,2019
QUEIMADOS_RJ,1218321.62,744,34855470.14,84456727.56,2019
RIACHINHO_MG,48852.2,48,22669566.86,11747376.86,2019
RIBEIRAO PIRES_SP,1825874.75,579,35624122.629999995,91606110.75,2019
RIO BRILHANTE_MS,948405.9,305,38727421.519999996,113570673.37,2019
RIO NEGRINHO_SC,937642.52,280,30071394.299999997,117281614.01,2019
SAGRADA FAMILIA_RS,74629.49,16,22249337.47,13738865.48,2019
SANTA FE DO SUL_SP,951766.04,401,26243761.02,58906228.68000001,2019
SANTA MARIA DE JETIBA_ES,562428.48,192,32773095.65,56385728.2,2019
SANTANA DO CARIRI_CE,270703.66,73,21756245.43,13699106.4,2019
SANTO ANDRE_SP,8539488.1,5582,139439887.29,650499098.1400001,2019
SANTO ANTONIO DA PATRULHA_RS,41264.98,384,32248327.2,101145376.14,2019
SAO FRANCISCO DE ASSIS_RS,109655.83,257,22984761.57,32139410.56,2019
SAO JOAO DA LAGOA_MG,120625.4,12,21557621.4,6441126.430000001,2019
SAO MANUEL_SP,895444.79,396,31584005.5,93521020.54,2019
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,193498.62,22,21380775.029999997,6076787.16,2019
SOLONOPOLE_CE,321518.62,87,21687681.669999998,11471892.67,2019
SUME_PB,261978.27,110,21069724.709999997,4666075.51,2019
TAIO_SC,244024.56,159,25134476.11,34620605.52,2019
TAUA_CE,467878.65,480,20635532.049999997,614075.1599999999,2019
TAUBATE_SP,3429045.65,2532,27668349.029999997,306982467.06,2019
TRAJANO DE MORAES_RJ,527079.05,393,22165248.32,13703930.09,2019
TRES MARIAS_MG,847648.6,334,30482801.96,62133818.47,2019
TUPANCIRETA_RS,128173.52,197,26597997.869999997,52511631.98999999,2019
TURMALINA_MG,270332.75,106,22736451.84,22375506.79,2019
VARJAO DE MINAS_MG,61551.96,36,21748809.75,8229689.590000001,2019
VARRE-SAI_RJ,303093.91,235,26920550.669999998,53248897.9,2019
VIANA_ES,880441.66,748,26044222.349999998,51493839.24000001,2019
VICOSA_MG,1486798.79,616,24866719.49,46427656.83,2019
ALTO PARAISO DE GOIAS_GO,171992.78,109,20701341.299999997,3253880.68,2020
AMAPORA_PR,105229.05,86,21295960.959999997,16926647.4,2020
ANDIRA_PR,498321.99,352,23576119.99,42312706.92,2020
AQUIDAUANA_MS,457842.81,332,29686019.47,50850639.53,2020
ARMACAO DOS BUZIOS_RJ,1268572.03,113,24950284.27,90922154.27,2020
ASSIS_SP,862213.65,88,23457210.38,229058373.34,2020
ATALAIA_AL,481105.85,647,20520420.5,34585.79,2020
BARRO ALTO_GO,409604.91,192,21046591.08,13206312.69,2020
BEBERIBE_CE,1569836.91,371,22104997.689999998,55698586.81,2020
BOA VISTA_RR,1966645.83,582,66265226.589999996,726322109.52,2020
BOM DESPACHO_MG,407372.3,495,21659175.889999997,35019773.16,2020
CAAPORA_PB,629645.14,408,20652238.47,146201.69,2020
CAARAPO_MS,403393.71,169,21558353.57,30638571.7,2020
CACADOR_SC,1090019.67,577,27177172.58,122150061.57,2020
CACHOEIRINHA_PE,284133.21,116,21643894.97,20354652.61,2020
CAMACARI_BA,4601977.71,2060,34008556.95,366666150.72,2020
CANTAGALO_RJ,822500.45,695,21510971.68,15139342.15,2020
CARDOSO MOREIRA_RJ,192299.82,214,26640871.82,96473516.7,2020
CARIRIACU_CE,647410.67,125,21704438.34,16372179.81,2020
CERES_GO,125004.15,203,22365201.07,13123390.79,2020
CERQUEIRA CESAR_SP,489276.31,214,20680733.93,42566564.69000001,2020
CHOPINZINHO_PR,4574.99,51,24652641.56,15416161.34,2020
CONCEICAO DE MACABU_RJ,646533.89,242,23880938.86,53394991.48,2020
CRATO_CE,944618.56,541,29502962.49,84758426.57000001,2020
CRUZEIRO DO OESTE_PR,36230.99,245,21628562.33,11605113.77,2020
CURITIBANOS_SC,289392.11,450,22894762.159999996,46020502.54000001,2020
DEMERVAL LOBAO_PI,115879.75,34,20740748.4,4246406.43,2020
DOMINGOS MARTINS_ES,402827.81,206,28126433.99,70993199.81,2020
DUAS BARRAS_RJ,407111.69,225,21479386.41,44808107.38,2020
ENTRE-IJUIS_RS,174383.01,157,23692124.64,43088708.17,2020
ESCADA_PE,581082.89,759,21054557.93,5420742.7,2020
ESPERA FELIZ_MG,327050.24,216,21449895.5,14859613.16,2020
ESPERANTINA_PI,266740.47,210,21170669.849999998,16688704.75,2020
ESPIGAO DO OESTE_RO,774361.48,94,24066863.159999996,67274914.81,2020
EUSEBIO_CE,1114525.5,259,28142380.689999998,150789641.3,2020
FERNANDOPOLIS_SP,1314805.61,587,19867540.93,99644553.33,2020
FLORIANOPOLIS_SC,4564790.62,3457,20740903.139999997,12446137.66,2020
FORMOSA_GO,597948.96,480,20475482.09,9354573.44,2020
FOZ DO IGUACU_PR,3007626.24,2426,70432576.13,381147930.82,2020
GOIANIRA_GO,453084.4,221,22879829.799999997,41602666.42,2020
GOIAS_GO,48603112.8,59717,26270778.89,414847161.07,2020
GONCALVES_MG,95255.87,28,20686687.9,2328058.78,2020
HOLAMBRA_SP,361049.95,132,22313243.88,72952196.59,2020
IGUATAMA_MG,107615.39,125,20518228.139999997,159568.73,2020
IRAUCUBA_CE,506039.02,55,24410242.93,35432189.76000001,2020
ITACURUBA_PE,128000.22,42,23501373.97,15775519.56,2020
ITAPIPOCA_CE,1899079.04,590,26755975.32,124476494.24,2020
IVOTI_RS,104053.87,103,24725694.549999997,76563722.78,2020
JALES_SP,675231.09,585,24333210.509999998,47748002.91,2020
JANUARIA_MG,475908.43,212,24963814.97,29370426.78,2020
JAPURA_PR,153700.05,6,21534666.0,18758423.54,2020
JARU_RO,779594.55,280,27239657.009999998,107320351.96,2020
JOACABA_SC,279093.28,509,34101840.71,102863341.06,2020
LAGOA SECA_PB,353627.49,323,20576287.959999997,1446701.08,2020
LAGOAO_RS,59242.55,83,21770609.47,21798562.96,2020
LIBERDADE_MG,90110.31,105,20510083.43,18392.08,2020
LIMEIRA_SP,2173180.41,1718,1.0,536499424.18,2020
MAFRA_SC,867163.49,426,22634564.24,37868407.93,2020
MANGARATIBA_RJ,870696.09,678,20593671.549999997,1137454.55,2020
MANTENA_MG,404522.16,297,21084013.16,28021395.56,2020
MARABA_PA,2213628.72,927,48713634.06,546534260.45,2020
MARACAJU_MS,1213579.4,336,24272205.659999996,76516506.48,2020
MARILIA_SP,1979722.82,2210,18402909.419999998,8545671.700000001,2020
MARINGA_PR,3257096.59,3512,20566442.979999997,455583659.35,2020
MATO GROSSO_MT,21559235.94,30341,22545146.57,19975603.88,2020
MATO GROSSO DO SUL_MS,7622574.9,13751,21933547.58,85694929.03,2020
MEDIANEIRA_PR,275761.21,196,25987616.49,44273645.86,2020
MILAGRES_CE,515443.88,33,24257954.799999997,19584669.12,2020
MINACU_GO,662898.88,364,20756558.479999997,6574148.46,2020
MIRA ESTRELA_SP,102989.72,42,21685347.209999997,20622790.3,2020
MONTE ALEGRE DE MINAS_MG,347053.27,273,20964126.07,5819089.19,2020
MORENO_PE,512705.74,622,20528176.16,245942.66,2020
MORRO AGUDO_SP,519321.38,418,22057446.299999997,23787714.66,2020
NOVA ESPERANCA DO SUL_RS,49391.75,29,21592318.54,20481535.07,2020
NOVO HORIZONTE DO OESTE_RO,256961.85,43,21375274.29,15922995.59,2020
OLIVEIRA_MG,644955.37,480,26025961.229999997,47654947.8,2020
OSORIO_RS,44686.87,564,28812962.68,145587661.43,2020
PALMEIRA D'OESTE_SP,233596.47,202,20637944.5,3937054.59,2020
PARAIBUNA_SP,516115.52,247,23933788.25,69440934.76,2020
PARAIPABA_CE,533038.05,88,22593440.2,33275525.56,2020
PARISI_SP,140229.41,60,21634922.709999997,19398073.25,2020
PAROBE_RS,491396.68,557,27199111.849999998,66159838.31,2020
PATOS_PB,657336.59,671,20668750.72,2447033.01,2020
PATY DO ALFERES_RJ,959623.67,319,28387434.27,121126309.77,2020
PIAUI_PI,9454260.71,36518,21135910.07,10451398.95,2020
PICOS_PI,685909.76,302,24018162.47,69634635.95,2020
PIRACAIA_SP,584955.09,189,40670041.08,89445393.07000001,2020
POSSE_GO,446283.77,332,21174092.95,13969350.18,2020
QUEIMADOS_RJ,1380236.92,493,32578811.06,94438878.74,2020
RIACHINHO_MG,43677.56,51,21381580.97,14308794.34,2020
RIBEIRAO PIRES_SP,1656975.28,651,34575559.599999994,109441327.28,2020
RIO BRILHANTE_MS,909252.22,343,26959485.409999996,138937133.18,2020
RIO NEGRINHO_SC,894964.89,311,25271009.99,127230656.53,2020
SAGRADA FAMILIA_RS,71188.18,18,21396275.38,15553853.89,2020
SANTA FE DO SUL_SP,933564.98,435,26957987.31,70141261.71,2020
SANTA MARIA DE JETIBA_ES,433513.4,216,29695259.38,69796609.04,2020
SANTANA DO CARIRI_CE,243297.49,99,21177450.31,17461413.62,2020
SANTO ANDRE_SP,8155515.76,5735,76072799.85,850208018.0500001,2020
SANTO ANTONIO DA PATRULHA_RS,50973.44,405,29639408.03,117745728.01,2020
SAO FRANCISCO DE ASSIS_RS,103944.79,277,22217863.389999997,33711440.39,2020
SAO JOAO DA LAGOA_MG,140378.36,12,21959188.99,7982162.470000002,2020
SAO MANUEL_SP,910589.1,407,25824584.93,106522365.71,2020
SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN,191912.58,48,20851130.4,7349293.29,2020
SOLONOPOLE_CE,171590.15,64,20796194.9,14891572.96,2020
SUME_PB,317665.77,224,20963859.389999997,4416239.44,2020
TAIO_SC,438589.51,165,23622349.2,42615515.24,2020
TAUA_CE,346386.69,444,20638750.34,3136067.24,2020
TAUBATE_SP,3597355.03,2741,41968313.47,323671392.35,2020
TRAJANO DE MORAES_RJ,562060.8,414,21842208.32,14510566.21,2020
TRES MARIAS_MG,901520.97,366,24848016.57,69792368.52000001,2020
TUPANCIRETA_RS,81531.02,214,24708588.659999996,64120776.29000001,2020
TURMALINA_MG,268398.56,114,22322627.24,25040581.68,2020
VARJAO DE MINAS_MG,47637.21,44,21046275.209999997,10243255.82,2020
VARRE-SAI_RJ,280226.81,260,23370852.419999998,60490963.18,2020
VIANA_ES,772383.86,765,31484270.11,61404671.31,2020
VICOSA_MG,1277920.23,650,24700612.82,56126390.29000001,2020
ALTO PARAISO DE GOIAS_GO,153657.33,112,20471543.43,3615777.08,2021
AMAPORA_PR,104228.54,87,20274777.83,16992816.26,2021
ANDIRA_PR,491580.84,379,19350363.63,49879995.34,2021
AQUIDAUANA_MS,511596.52,370,24703776.11,53840301.45,2021
ARMACAO DOS BUZIOS_RJ,947108.9,128,20044913.13,100275379.34,2021
ASSIS_SP,1297238.7,90,18660533.41,252473058.41,2021
ATALAIA_AL,375028.29,668,20515433.77,1350332.09,2021
BARRO ALTO_GO,459277.46,201,20497973.95,13309747.54,2021
BEBERIBE_CE,771744.04,344,21915674.54,57810442.36000001,2021
BOA VISTA_RR,2047097.34,626,17813117.939999998,831449604.1,2021
BOM DESPACHO_MG,423956.35,514,19894625.31,35943669.52,2021
CAAPORA_PB,474810.67,428,20532382.29,60145.53,2021
CAARAPO_MS,457914.89,174,20786212.119999997,37797825.96,2021
CACADOR_SC,1342491.61,607,19121637.04,137866967.84,2021
CACHOEIRINHA_PE,360076.8,66,20735196.72,23033904.33,2021
CAMACARI_BA,5380625.2,2117,25071631.709999997,347792523.32,2021
CANTAGALO_RJ,690075.73,699,20390793.11,17642849.24,2021
CARDOSO MOREIRA_RJ,271448.6,236,23060191.14,105104153.63,2021
CARIRIACU_CE,597514.72,146,22170101.119999997,21002077.3,2021
CERES_GO,280861.03,216,20576619.299999997,14630641.84,2021
CERQUEIRA CESAR_SP,587359.1,237,18811221.15,48741928.34,2021
CHOPINZINHO_PR,9928.76,72,23535570.65,22772957.5,2021
CONCEICAO DE MACABU_RJ,609068.19,412,20998104.18,57288257.43,2021
CRATO_CE,1387699.19,607,25927449.97,73285219.05000001,2021
CRUZEIRO DO OESTE_PR,39584.35,277,21347085.849999998,12280182.56,2021
CURITIBANOS_SC,319139.37,470,20578221.27,50174621.18,2021
DEMERVAL LOBAO_PI,136202.75,36,20626220.25,6184109.5,2021
DOMINGOS MARTINS_ES,429559.76,234,24610261.349999998,76377004.80000001,2021
DUAS BARRAS_RJ,411460.11,247,19464075.59,46107171.82,2021
ENTRE-IJUIS_RS,206070.97,167,21785250.56,43439269.44000001,2021
ESCADA_PE,590188.65,783,20596157.07,5824156.970000002,2021
ESPERA FELIZ_MG,399636.57,224,21058168.029999997,16077301.99,2021
ESPERANTINA_PI,1076008.98,217,21232274.509999998,17831472.84,2021
ESPIGAO DO OESTE_RO,759705.4,105,20629676.509999998,74260376.14,2021
EUSEBIO_CE,1316308.65,269,23752277.27,159778565.64,2021
FERNANDOPOLIS_SP,1520289.61,601,21348893.5,110017114.09,2021
FLORIANOPOLIS_SC,5674481.12,3658,20033111.11,5160558.37,2021
FORMOSA_GO,283170.44,40,20619983.33,9802550.03,2021
FOZ DO IGUACU_PR,3947178.28,2638,18070587.299999997,428322620.04,2021
GOIANIRA_GO,430054.12,232,21769084.549999997,46545899.23,2021
GOIAS_GO,47707153.24,61212,47386831.34,1305817037.54,2021
GONCALVES_MG,98397.74,31,20545791.619999997,3167216.110000001,2021
HOLAMBRA_SP,375367.68,146,21083109.009999998,81718445.2,2021
IGUATAMA_MG,121610.99,140,20514187.0,260770.63,2021
IRAUCUBA_CE,520223.25,70,21681457.24,41473396.97000001,2021
ITACURUBA_PE,148395.72,42,20452133.86,17176614.64,2021
ITAPIPOCA_CE,1282753.95,599,22520720.59,129215364.99,2021
IVOTI_RS,98355.36,116,22394991.32,87025783.93,2021
JALES_SP,734849.21,606,15429580.68,47482626.1,2021
JANUARIA_MG,545490.29,258,23097866.08,38972353.45,2021
JAPURA_PR,164322.52,103,19780867.93,20894567.01,2021
JARU_RO,960153.53,311,22325122.49,118636477.2,2021
JOACABA_SC,295449.09,274,29954626.799999997,110903884.21,2021
LAGOA SECA_PB,360120.33,329,20617824.65,1436188.87,2021
LAGOAO_RS,79088.43,94,20989420.709999997,24493086.22,2021
LIBERDADE_MG,96483.87,116,20510775.119999997,25226.04,2021
LIMEIRA_SP,2254085.62,1836,31352670.729999997,585052936.44,2021
MAFRA_SC,800998.86,484,20474955.95,36442614.09,2021
MANGARATIBA_RJ,749047.3,717,20576985.779999997,1937565.51,2021
MANTENA_MG,475109.4,307,21625791.74,27812732.43,2021
MARABA_PA,2685840.29,1038,19169848.25,628035312.45,2021
