ente,uf,ano,grupo,contrib_previdenciaria,recursos_acumulados,receita_investimentos_e_ativos,pagamento_beneficios,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,recursos_acumulados_problema,receita_investimentos_e_ativos_problema,pagamento_beneficios_problema
ABADIA DE GOIAS,GO,2019,PEQUENO PORTE,1758124.7,12719457.45,31242707.47,1002993.7,,,,,,,False,False,False,False
ABADIA DE GOIAS,GO,2020,PEQUENO PORTE,2301682.79,15368522.77,31061047.419999998,1124985.54,,,,,,,False,False,False,False
ABADIA DE GOIAS,GO,2021,PEQUENO PORTE,4252656.3,18796917.44,30908852.58,1198075.98,,,,,,,False,False,False,False
ABADIA DE GOIAS,GO,2022,PEQUENO PORTE,4842562.77,22538497.42,32385687.39,1291585.42,,,,,,,False,False,False,False
ABADIA DE GOIAS,GO,2023,PEQUENO PORTE,5174476.64,28285441.23,33836946.25,1456218.76,,,,,,,False,False,False,False
ABADIA DE GOIAS,GO,2024,PEQUENO PORTE,7734918.59,35775151.67,33055242.81,1894742.02,,,,,,,False,False,False,False
ABADIANIA,GO,2019,PEQUENO PORTE,2952154.01,372312.3199999999,29876155.91,2500503.6,,,,,,,False,False,False,False
ABADIANIA,GO,2020,PEQUENO PORTE,3174016.63,174719.81,29871926.759999998,3453328.08,,,,,,,False,False,False,False
ABADIANIA,GO,2021,PEQUENO PORTE,4089804.03,495236.36,29869379.72,3917817.31,,,,,,,False,False,False,False
ABADIANIA,GO,2022,PEQUENO PORTE,2687754.11,566472.49,29886527.41,2228385.58,,,,,,,False,False,False,False
ABADIANIA,GO,2023,PEQUENO PORTE,7175322.53,2083351.77,30038317.46,5554886.12,,,,,,,False,False,False,False
ABADIANIA,GO,2024,PEQUENO PORTE,4176226.88,2999886.31,30088527.25,5758645.5,,,,,,,False,False,False,False
ABREULANDIA,TO,2019,PEQUENO PORTE,604962.16,2425465.69,30113501.619999997,410877.25,,,,,,,False,False,False,False
ABREULANDIA,TO,2020,PEQUENO PORTE,711403.21,2724357.1,30036948.15,458147.04,,,,,,,False,False,False,False
ABREULANDIA,TO,2021,PEQUENO PORTE,771163.73,3302803.71,30164971.419999998,548224.63,,,,,,,False,False,False,False
ABREULANDIA,TO,2022,PEQUENO PORTE,1079993.22,3778527.45,30151375.4,740874.21,,,,,,,False,False,False,False
ABREULANDIA,TO,2023,PEQUENO PORTE,1266887.22,4312038.11,30497479.939999998,1019314.23,,,,,,,False,False,False,False
ABREULANDIA,TO,2024,PEQUENO PORTE,1152377.79,5368588.57,30202881.259999998,810548.4,,,,,,,False,False,False,False
ACOPIARA,CE,2019,MÉDIO PORTE,5407857.47,40188724.76,34894777.12,4745226.51,,,,,,,False,False,False,False
ACOPIARA,CE,2020,MÉDIO PORTE,3925680.1,45910781.05,32543996.13,6156154.66,,,,,,,False,False,False,False
ACOPIARA,CE,2021,MÉDIO PORTE,8324584.23,47438707.72000001,29907225.81,6982658.03,,,,,,,False,False,False,False
ACOPIARA,CE,2022,MÉDIO PORTE,8954056.08,55730015.37,34869158.18,9994116.05,,,,,,,False,False,False,False
ACOPIARA,CE,2023,MÉDIO PORTE,5337943.09,64332032.55,40200920.03,12656695.68,,,,,,,False,False,False,False
ACOPIARA,CE,2024,MÉDIO PORTE,3506501.06,75436335.49,31436736.43,14982735.59,2023-09-04 00:00:00,2023-08-03 00:00:00,,,,,False,False,False,False
ACRE,AC,2019,ESTADO/DF,378039959.25,1294746.75,30513917.02,747646936.28,,,,,,,False,False,False,False
ACRE,AC,2020,ESTADO/DF,386453564.77,10137389.4,30170121.619999997,780689598.64,,,,,,,False,False,False,False
ACRE,AC,2021,ESTADO/DF,398800494.55,25654482.63,31174630.21,768252283.53,,,,,,,False,False,False,False
ACRE,AC,2022,ESTADO/DF,430306198.5,52007157.05,38220538.73,851457858.35,,,,,,,False,False,False,False
ACRE,AC,2023,ESTADO/DF,485703460.73,102515718.05,39811593.379999995,997967044.68,,,,,,,False,False,False,False
ACRE,AC,2024,ESTADO/DF,518335136.0,114651575.22,41894690.11,1077066586.69,,,,,,,False,False,False,False
ACREUNA,GO,2019,MÉDIO PORTE,7289452.59,37107341.73,34981226.3,6281540.21,,,,,,,False,False,False,False
ACREUNA,GO,2020,MÉDIO PORTE,4634805.05,42459373.90000001,31575005.14,7005634.67,,,,,,,False,False,False,False
ACREUNA,GO,2021,MÉDIO PORTE,8550261.82,42288030.84,30307056.63,8505526.35,,,,,,,False,False,False,False
ACREUNA,GO,2022,MÉDIO PORTE,11447452.63,43130641.0,33272096.49,9933677.47,,,,,,,False,False,False,False
ACREUNA,GO,2023,MÉDIO PORTE,13296113.75,47607254.26,36538147.19,11063061.65,,,,,,,False,False,False,False
ACREUNA,GO,2024,MÉDIO PORTE,13855331.09,57013872.46,33917728.85,12664987.93,2022-08-25 00:00:00,2022-08-01 00:00:00,,,,,False,False,False,False
ADRIANOPOLIS,PR,2019,PEQUENO PORTE,2966646.89,5980959.859999999,30497976.65,2268239.39,,,,,,,False,False,False,False
ADRIANOPOLIS,PR,2020,PEQUENO PORTE,3567180.14,8010256.66,30187829.9,2678898.81,,,,,,,False,False,False,False
ADRIANOPOLIS,PR,2021,PEQUENO PORTE,3654093.66,8887939.950000001,30141706.509999998,3070799.23,,,,,,,False,False,False,False
ADRIANOPOLIS,PR,2022,PEQUENO PORTE,4172493.75,9344913.22,30891208.99,3724363.85,,,,,,,False,False,False,False
ADRIANOPOLIS,PR,2023,PEQUENO PORTE,3003362.73,10284297.47,31397572.349999998,4792105.1,,,,,,,False,False,False,False
ADRIANOPOLIS,PR,2024,PEQUENO PORTE,3744695.58,14039135.32,30922421.65,5448952.17,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2019,MÉDIO PORTE,6703717.56,98681.92,29865197.369999997,9255175.17,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2020,MÉDIO PORTE,6617601.6,405891.3199999999,29864043.72,12698826.51,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2021,MÉDIO PORTE,6598027.59,500352.29,29920284.689999998,12711835.61,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2022,MÉDIO PORTE,9471189.83,563773.68,29994839.66,19375702.8,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2023,MÉDIO PORTE,20363590.39,2774595.84,30105256.98,22682668.01,,,,,,,False,False,False,False
AFOGADOS DA INGAZEIRA,PE,2024,MÉDIO PORTE,24395726.36,1266572.91,30129126.779999997,24476038.82,,,,,,,False,False,False,False
AGRESTINA,PE,2019,PEQUENO PORTE,3996227.88,3335110.89,30225798.98,3536335.97,,,,,,,False,False,False,False
AGRESTINA,PE,2020,MÉDIO PORTE,5268871.37,4430202.46,30438332.77,4085648.11,,,,,,,False,False,False,False
AGRESTINA,PE,2021,MÉDIO PORTE,7590114.8,7322420.5,30514333.82,4630614.43,,,,,,,False,False,False,False
AGRESTINA,PE,2022,MÉDIO PORTE,7085824.02,14065390.11,31868005.15,6332439.51,,,,,,,False,False,False,False
AGRESTINA,PE,2023,MÉDIO PORTE,7960054.31,19438845.45,33263590.75,7937287.86,,,,,,,False,False,False,False
AGRESTINA,PE,2024,MÉDIO PORTE,8590376.68,28531041.31,32690713.31,9314111.26,2023-02-07 00:00:00,2023-02-03 00:00:00,,,,,False,False,False,False
AGRICOLANDIA,PI,2019,PEQUENO PORTE,1055155.81,689630.0499999999,29948784.91,1049579.2,,,,,,,False,False,False,False
AGRICOLANDIA,PI,2020,PEQUENO PORTE,1142079.07,979742.55,29924005.919999998,1230753.35,,,,,,,False,False,False,False
AGRICOLANDIA,PI,2021,PEQUENO PORTE,1440878.41,1153040.18,29987172.0,1287375.85,,,,,,,False,False,False,False
AGRICOLANDIA,PI,2022,PEQUENO PORTE,1825448.5,1753638.89,30051208.72,1694580.29,,,,,,,False,False,False,False
AGRICOLANDIA,PI,2023,PEQUENO PORTE,1718666.57,2484252.98,30237168.77,1961811.54,,,,,,,False,False,False,False
AGRICOLANDIA,PI,2024,PEQUENO PORTE,2112973.47,3225374.61,30084296.83,2200477.1,2022-01-28 00:00:00,2021-12-14 00:00:00,,,,,False,False,False,False
AGUA BRANCA,PI,2019,PEQUENO PORTE,1328709.4,8869753.090000002,30550034.32,1881324.32,,,,,,,False,False,False,False
AGUA BRANCA,PI,2020,PEQUENO PORTE,1417804.59,9369561.31,30460304.93,2202255.15,,,,,,,False,False,False,False
AGUA BRANCA,PI,2021,PEQUENO PORTE,1628522.92,9816201.65,30154957.99,2385740.26,,,,,,,False,False,False,False
AGUA BRANCA,PI,2022,PEQUENO PORTE,9395312.15,9791606.31,30773937.39,3262009.41,,,,,,,False,False,False,False
AGUA BRANCA,PI,2023,PEQUENO PORTE,2931915.65,10533418.96,31281986.93,3845304.44,,,,,,,False,False,False,False
AGUA BRANCA,PI,2024,PEQUENO PORTE,5027334.66,11829105.16,30786618.61,4401128.06,2022-01-28 00:00:00,2021-12-14 00:00:00,,,,,False,False,False,False
AGUA CLARA,MS,2019,PEQUENO PORTE,4118363.46,26717666.39999999,33407423.049999997,2653428.88,,,,,,,False,False,False,False
AGUA CLARA,MS,2020,MÉDIO PORTE,5440628.28,30345405.0,32577276.31,3118781.7,,,,,,,False,False,False,False
AGUA CLARA,MS,2021,PEQUENO PORTE,7986964.95,33783800.55,30669684.63,3667535.02,,,,,,,False,False,False,False
AGUA CLARA,MS,2022,MÉDIO PORTE,10991296.88,38317341.57,31968166.43,4296119.29,,,,,,,False,False,False,False
AGUA CLARA,MS,2023,MÉDIO PORTE,14125636.9,47468723.1,37463707.16,5364725.59,,,,,,,False,False,False,False
AGUA CLARA,MS,2024,MÉDIO PORTE,12980729.84,62173880.11,33745599.629999995,6100833.44,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2019,PEQUENO PORTE,1402894.91,8224478.9,30811692.8,753191.58,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2020,PEQUENO PORTE,1716763.46,9668938.960000005,30428384.45,1170381.11,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2021,PEQUENO PORTE,1811923.94,10782748.38,29832089.73,1364285.76,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2022,PEQUENO PORTE,2149785.13,11198180.43,30841250.39,1820626.17,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2023,PEQUENO PORTE,3637754.26,12466445.13,31719637.939999998,2593496.26,,,,,,,False,False,False,False
AGUA FRIA DE GOIAS,GO,2024,PEQUENO PORTE,4266765.18,15370114.89,30496437.68,3125843.31,,,,,,,False,False,False,False
AGUA SANTA,RS,2019,PEQUENO PORTE,2381704.77,22889348.83,32095825.46,1255953.46,,,,,,,False,False,False,False
AGUA SANTA,RS,2020,PEQUENO PORTE,2628387.01,25992592.23,31219170.16,1518590.35,,,,,,,False,False,False,False
AGUA SANTA,RS,2021,PEQUENO PORTE,2474164.13,27901042.75,30115467.59,1689410.33,,,,,,,False,False,False,False
AGUA SANTA,RS,2022,PEQUENO PORTE,2726998.97,29589161.06,32289500.099999998,1871939.73,,,,,,,False,False,False,False
AGUA SANTA,RS,2023,PEQUENO PORTE,3236394.97,33433625.97,34328514.79,2277751.98,,,,,,,False,False,False,False
AGUA SANTA,RS,2024,PEQUENO PORTE,4052785.14,38633481.68,33157757.47,2856309.09,,,,,,,False,False,False,False
AGUAS BELAS,PE,2019,MÉDIO PORTE,8858962.7,425137.97,29884578.439999998,11050725.51,,,,,,,False,False,False,False
AGUAS BELAS,PE,2020,MÉDIO PORTE,9334001.72,21391.07,29869523.83,14229702.71,,,,,,,False,False,False,False
AGUAS BELAS,PE,2021,MÉDIO PORTE,9849257.53,324896.44,29872693.75,13172473.36,,,,,,,False,False,False,False
AGUAS BELAS,PE,2022,MÉDIO PORTE,13672078.98,713634.76,30004641.259999998,17788017.92,,,,,,,False,False,False,False
AGUAS BELAS,PE,2023,MÉDIO PORTE,16581237.09,1063435.72,30078977.07,20231144.18,,,,,,,False,False,False,False
AGUAS BELAS,PE,2024,MÉDIO PORTE,17776228.59,2139980.39,30013805.82,17325922.7,2023-07-18 00:00:00,2023-07-12 00:00:00,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2019,PEQUENO PORTE,1402461.59,17828097.35,31830160.89,1688787.03,,,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2020,PEQUENO PORTE,1475842.89,19761872.51,30186433.849999998,2173014.94,,,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2021,PEQUENO PORTE,3225223.8,21076548.98,30664297.41,2453750.78,,,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2022,PEQUENO PORTE,3572717.96,24593189.91,32327939.21,2859913.4,,,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2023,PEQUENO PORTE,3160570.16,28837403.12,33566961.04,3403179.03,,,,,,,False,False,False,False
AGUAS FORMOSAS,MG,2024,PEQUENO PORTE,3737461.31,31932963.96,32675102.119999997,4436624.2,,,,,,,False,False,False,False
AGUDO,RS,2019,MÉDIO PORTE,6995501.76,56178501.66,37654739.589999996,8713492.63,,,,,,,False,False,False,False
AGUDO,RS,2020,MÉDIO PORTE,7234696.02,62107498.47,38458790.81,11395909.33,,,,,,,False,False,False,False
AGUDO,RS,2021,MÉDIO PORTE,7325483.78,61683788.91,33984777.78,12184930.67,,,,,,,False,False,False,False
AGUDO,RS,2022,MÉDIO PORTE,9612408.09,56363099.44000001,36933491.39,14528327.46,,,,,,,False,False,False,False
AGUDO,RS,2023,MÉDIO PORTE,10998984.48,55266454.38,38484361.55,16793815.13,,,,,,,False,False,False,False
AGUDO,RS,2024,MÉDIO PORTE,12456123.33,57807149.21,34420807.98,17989399.72,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2019,PEQUENO PORTE,3323290.42,28830263.29,34045959.73,1795073.26,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2020,PEQUENO PORTE,3425472.91,34266184.94000001,30834455.18,2060000.37,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2021,PEQUENO PORTE,2387496.46,36812195.17,29697814.43,2717643.46,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2022,PEQUENO PORTE,3156695.03,37212320.72,33344814.49,3525797.2,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2023,PEQUENO PORTE,4282776.26,40881381.33,35361450.18,4427610.48,,,,,,,False,False,False,False
AGUIA BRANCA,ES,2024,PEQUENO PORTE,6314173.83,45681584.69,31857055.009999998,5918234.47,,,,,,,False,False,False,False
AJURICABA,RS,2019,PEQUENO PORTE,2199188.3,2403526.56,30537240.43,865275.61,,,,,,,False,False,False,False
AJURICABA,RS,2020,PEQUENO PORTE,2942806.13,4024088.58,30169685.9,1240039.12,,,,,,,False,False,False,False
AJURICABA,RS,2021,PEQUENO PORTE,3247559.92,6632833.29,30566730.9,1652078.06,,,,,,,False,False,False,False
AJURICABA,RS,2022,PEQUENO PORTE,3982021.59,8473004.9,30714146.4,2018407.24,,,,,,,False,False,False,False
AJURICABA,RS,2023,PEQUENO PORTE,4266708.88,10635236.34,31316582.98,2957155.15,,,,,,,False,False,False,False
AJURICABA,RS,2024,PEQUENO PORTE,5051488.89,14154357.12,31276161.63,3231066.78,,,,,,,False,False,False,False
ALAGOA,MG,2019,PEQUENO PORTE,1749869.94,577340.97,29897893.13,1759679.97,,,,,,,False,False,False,False
ALAGOA,MG,2020,PEQUENO PORTE,1846348.61,280647.83,29880076.5,2041969.46,,,,,,,False,False,False,False
ALAGOA,MG,2021,PEQUENO PORTE,1871395.19,552020.35,29881713.11,2273361.55,,,,,,,False,False,False,False
ALAGOA,MG,2022,PEQUENO PORTE,3230422.63,492443.61,29935061.96,2633545.44,,,,,,,False,False,False,False
