ente,uf,ano,grupo,contrib_previdenciaria,receita_liquida_investimentos,recursos_acumulados,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,receita_liquida_investimentos_problema,recursos_acumulados_problema
ABADIA DE GOIAS,GO,2019,PEQUENO PORTE,1758124.7,31242707.47,12719457.45,,,,,,,False,False,False
ABADIA DE GOIAS,GO,2020,PEQUENO PORTE,2301682.79,31061047.419999998,15368522.77,,,,,,,False,False,False
ABADIA DE GOIAS,GO,2021,PEQUENO PORTE,4252656.3,30908852.58,18796917.44,,,,,,,False,False,False
ABADIA DE GOIAS,GO,2022,PEQUENO PORTE,4842562.77,32214240.599999998,22538497.42,,,,,,,False,False,False
ABADIA DE GOIAS,GO,2023,PEQUENO PORTE,5174476.64,33836946.25,28285441.23,,,,,,,False,False,False
ABADIA DE GOIAS,GO,2024,PEQUENO PORTE,7734918.59,33055242.81,35775151.67,,,,,,,False,False,False
ABADIANIA,GO,2019,PEQUENO PORTE,2952154.01,29876155.91,372312.3199999999,,,,,,,False,False,False
ABADIANIA,GO,2020,PEQUENO PORTE,3174016.63,29871926.759999998,174719.81,,,,,,,False,False,False
ABADIANIA,GO,2021,PEQUENO PORTE,4089804.03,29869379.72,495236.36,,,,,,,False,False,False
ABADIANIA,GO,2022,PEQUENO PORTE,2687754.11,29886527.41,566472.49,,,,,,,False,False,False
ABADIANIA,GO,2023,PEQUENO PORTE,7175322.53,30038317.46,2083351.77,,,,,,,False,False,False
ABADIANIA,GO,2024,PEQUENO PORTE,4176226.88,30088527.25,2999886.31,,,,,,,False,False,False
ABREULANDIA,TO,2019,PEQUENO PORTE,604962.16,30113501.619999997,2425465.69,,,,,,,False,False,False
ABREULANDIA,TO,2020,PEQUENO PORTE,711403.21,30036948.15,2724357.1,,,,,,,False,False,False
ABREULANDIA,TO,2021,PEQUENO PORTE,771163.73,30164971.419999998,3302803.71,,,,,,,False,False,False
ABREULANDIA,TO,2022,PEQUENO PORTE,1079993.22,30151375.4,3778527.45,,,,,,,False,False,False
ABREULANDIA,TO,2023,PEQUENO PORTE,1266887.22,30497479.939999998,4312038.11,,,,,,,False,False,False
ABREULANDIA,TO,2024,PEQUENO PORTE,1152377.79,30202881.259999998,5368588.57,,,,,,,False,False,False
ACOPIARA,CE,2019,MÉDIO PORTE,5407857.47,34894777.12,40188724.76,,,,,,,False,False,False
ACOPIARA,CE,2020,MÉDIO PORTE,3925680.1,32543996.13,45910781.05,,,,,,,False,False,False
ACOPIARA,CE,2021,MÉDIO PORTE,8324584.23,29907225.81,47438707.72000001,,,,,,,False,False,False
ACOPIARA,CE,2022,MÉDIO PORTE,8954056.08,34869158.18,55730015.37,,,,,,,False,False,False
ACOPIARA,CE,2023,MÉDIO PORTE,5337943.09,40200920.03,64332032.55,,,,,,,False,False,False
ACOPIARA,CE,2024,MÉDIO PORTE,3506501.06,31436736.43,75436335.49,2023-09-04 00:00:00,2023-08-03 00:00:00,,,,,False,False,False
ACRE,AC,2019,ESTADO/DF,378039959.25,30253877.48,1294746.75,,,,,,,False,False,False
ACRE,AC,2020,ESTADO/DF,386453564.77,30170121.619999997,10137389.4,,,,,,,False,False,False
ACRE,AC,2021,ESTADO/DF,398800494.55,31029607.869999997,25654482.63,,,,,,,False,False,False
ACRE,AC,2022,ESTADO/DF,430306198.5,38220538.73,52007157.05,,,,,,,False,False,False
ACRE,AC,2023,ESTADO/DF,485703460.73,39811593.379999995,102515718.05,,,,,,,False,False,False
ACRE,AC,2024,ESTADO/DF,518335136.0,41894690.11,114651575.22,,,,,,,False,False,False
ACREUNA,GO,2019,MÉDIO PORTE,7289452.59,34981226.3,37107341.73,,,,,,,False,False,False
ACREUNA,GO,2020,MÉDIO PORTE,4634805.05,31575005.14,42459373.90000001,,,,,,,False,False,False
ACREUNA,GO,2021,MÉDIO PORTE,8550261.82,30307056.63,42288030.84,,,,,,,False,False,False
ACREUNA,GO,2022,MÉDIO PORTE,11447452.63,33272096.49,43130641.0,,,,,,,False,False,False
ACREUNA,GO,2023,MÉDIO PORTE,13296113.75,36538147.19,47607254.26,,,,,,,False,False,False
ACREUNA,GO,2024,MÉDIO PORTE,13855331.09,33917728.85,57013872.46,2022-08-25 00:00:00,2022-08-01 00:00:00,,,,,False,False,False
ADRIANOPOLIS,PR,2019,PEQUENO PORTE,2966646.89,30497976.65,5980959.859999999,,,,,,,False,False,False
ADRIANOPOLIS,PR,2020,PEQUENO PORTE,3567180.14,30187829.9,8010256.66,,,,,,,False,False,False
ADRIANOPOLIS,PR,2021,PEQUENO PORTE,3654093.66,30141706.509999998,8887939.950000001,,,,,,,False,False,False
ADRIANOPOLIS,PR,2022,PEQUENO PORTE,4172493.75,30891208.99,9344913.22,,,,,,,False,False,False
ADRIANOPOLIS,PR,2023,PEQUENO PORTE,3003362.73,31397572.349999998,10284297.47,,,,,,,False,False,False
ADRIANOPOLIS,PR,2024,PEQUENO PORTE,3744695.58,30922421.65,14039135.32,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2019,MÉDIO PORTE,6703717.56,29865197.369999997,98681.92,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2020,MÉDIO PORTE,6617601.6,29864043.72,405891.3199999999,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2021,MÉDIO PORTE,6598027.59,29920284.689999998,500352.29,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2022,MÉDIO PORTE,9471189.83,29994839.66,563773.68,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2023,MÉDIO PORTE,20363590.39,30105256.98,2774595.84,,,,,,,False,False,False
AFOGADOS DA INGAZEIRA,PE,2024,MÉDIO PORTE,24395726.36,30129126.779999997,1266572.91,,,,,,,False,False,False
AGRESTINA,PE,2019,PEQUENO PORTE,3996227.88,30189174.45,3335110.89,,,,,,,False,False,False
AGRESTINA,PE,2020,MÉDIO PORTE,5268871.37,30438332.77,4430202.46,,,,,,,False,False,False
AGRESTINA,PE,2021,MÉDIO PORTE,7590114.8,30514333.82,7322420.5,,,,,,,False,False,False
AGRESTINA,PE,2022,MÉDIO PORTE,7085824.02,31868005.15,14065390.11,,,,,,,False,False,False
