"RPPS","Ano","Eff_ch","Tech_ch","Malmquist"
"ALTO PARAISO DE GOIAS_GO",2019,NA,NA,NA
"AMAPORA_PR",2019,NA,NA,NA
"ANDIRA_PR",2019,NA,NA,NA
"AQUIDAUANA_MS",2019,NA,NA,NA
"ARMACAO DOS BUZIOS_RJ",2019,NA,NA,NA
"ASSIS_SP",2019,NA,NA,NA
"ATALAIA_AL",2019,NA,NA,NA
"BARRO ALTO_GO",2019,NA,NA,NA
"BEBERIBE_CE",2019,NA,NA,NA
"BOA VISTA_RR",2019,NA,NA,NA
"BOM DESPACHO_MG",2019,NA,NA,NA
"CAAPORA_PB",2019,NA,NA,NA
"CAARAPO_MS",2019,NA,NA,NA
"CACADOR_SC",2019,NA,NA,NA
"CACHOEIRINHA_PE",2019,NA,NA,NA
"CAMACARI_BA",2019,NA,NA,NA
"CANTAGALO_RJ",2019,NA,NA,NA
"CARDOSO MOREIRA_RJ",2019,NA,NA,NA
"CARIRIACU_CE",2019,NA,NA,NA
"CERES_GO",2019,NA,NA,NA
"CERQUEIRA CESAR_SP",2019,NA,NA,NA
"CHOPINZINHO_PR",2019,NA,NA,NA
"CONCEICAO DE MACABU_RJ",2019,NA,NA,NA
"CRATO_CE",2019,NA,NA,NA
"CRUZEIRO DO OESTE_PR",2019,NA,NA,NA
"CURITIBANOS_SC",2019,NA,NA,NA
"DEMERVAL LOBAO_PI",2019,NA,NA,NA
"DOMINGOS MARTINS_ES",2019,NA,NA,NA
"DUAS BARRAS_RJ",2019,NA,NA,NA
"ENTRE-IJUIS_RS",2019,NA,NA,NA
"ESCADA_PE",2019,NA,NA,NA
"ESPERA FELIZ_MG",2019,NA,NA,NA
"ESPERANTINA_PI",2019,NA,NA,NA
"ESPIGAO DO OESTE_RO",2019,NA,NA,NA
"EUSEBIO_CE",2019,NA,NA,NA
"FERNANDOPOLIS_SP",2019,NA,NA,NA
"FLORIANOPOLIS_SC",2019,NA,NA,NA
"FORMOSA_GO",2019,NA,NA,NA
"FOZ DO IGUACU_PR",2019,NA,NA,NA
"GOIANIRA_GO",2019,NA,NA,NA
"GOIAS_GO",2019,NA,NA,NA
"GONCALVES_MG",2019,NA,NA,NA
"HOLAMBRA_SP",2019,NA,NA,NA
"IGUATAMA_MG",2019,NA,NA,NA
"IRAUCUBA_CE",2019,NA,NA,NA
"ITACURUBA_PE",2019,NA,NA,NA
"ITAPIPOCA_CE",2019,NA,NA,NA
"IVOTI_RS",2019,NA,NA,NA
"JALES_SP",2019,NA,NA,NA
"JANUARIA_MG",2019,NA,NA,NA
"JAPURA_PR",2019,NA,NA,NA
"JARU_RO",2019,NA,NA,NA
"JOACABA_SC",2019,NA,NA,NA
"LAGOA SECA_PB",2019,NA,NA,NA
"LAGOAO_RS",2019,NA,NA,NA
"LIBERDADE_MG",2019,NA,NA,NA
"LIMEIRA_SP",2019,NA,NA,NA
"MAFRA_SC",2019,NA,NA,NA
"MANGARATIBA_RJ",2019,NA,NA,NA
"MANTENA_MG",2019,NA,NA,NA
"MARABA_PA",2019,NA,NA,NA
"MARACAJU_MS",2019,NA,NA,NA
"MARILIA_SP",2019,NA,NA,NA
"MARINGA_PR",2019,NA,NA,NA
"MATO GROSSO_MT",2019,NA,NA,NA
"MATO GROSSO DO SUL_MS",2019,NA,NA,NA
"MEDIANEIRA_PR",2019,NA,NA,NA
"MILAGRES_CE",2019,NA,NA,NA
"MINACU_GO",2019,NA,NA,NA
