"RPPS","Ano","Grupo","Eficiencia"
"ALAGOAS_AL",2019,"GRANDE_ESTADUAL_2019",0.370922145738047
"ARAPIRACA_AL",2019,"GRANDE_ESTADUAL_2019",0.438798359507778
"BAURU_SP",2019,"GRANDE_ESTADUAL_2019",0.487627476426513
"BOA VISTA_RR",2019,"GRANDE_ESTADUAL_2019",0.737821545948025
"CABO FRIO_RJ",2019,"GRANDE_ESTADUAL_2019",1
"CAMACARI_BA",2019,"GRANDE_ESTADUAL_2019",0.316203383945445
"CEARA_CE",2019,"GRANDE_ESTADUAL_2019",0.387729856767517
"CONTAGEM_MG",2019,"GRANDE_ESTADUAL_2019",0.229131017965897
"FEIRA DE SANTANA_BA",2019,"GRANDE_ESTADUAL_2019",0.16197648257826
"FLORIANOPOLIS_SC",2019,"GRANDE_ESTADUAL_2019",0.133837564731894
"FOZ DO IGUACU_PR",2019,"GRANDE_ESTADUAL_2019",0.454084914295378
"GOVERNO DO DISTRITO FEDERAL_DF",2019,"GRANDE_ESTADUAL_2019",1
"INDAIATUBA_SP",2019,"GRANDE_ESTADUAL_2019",1
"JABOATAO DOS GUARARAPES_PE",2019,"GRANDE_ESTADUAL_2019",0.261378988964914
"JOAO PESSOA_PB",2019,"GRANDE_ESTADUAL_2019",0.245188395082803
"LONDRINA_PR",2019,"GRANDE_ESTADUAL_2019",0.165391874104065
"MARABA_PA",2019,"GRANDE_ESTADUAL_2019",0.745112338491302
"MARINGA_PR",2019,"GRANDE_ESTADUAL_2019",0.417992081472684
"MATO GROSSO_MT",2019,"GRANDE_ESTADUAL_2019",0.111079956145748
"NATAL_RN",2019,"GRANDE_ESTADUAL_2019",0.379142086918641
"OSASCO_SP",2019,"GRANDE_ESTADUAL_2019",0.270776090794892
"PERNAMBUCO_PE",2019,"GRANDE_ESTADUAL_2019",0.148623903737971
"PETROPOLIS_RJ",2019,"GRANDE_ESTADUAL_2019",0.144330957398033
"RIBEIRAO PRETO_SP",2019,"GRANDE_ESTADUAL_2019",0.4028792766808
"RONDONIA_RO",2019,"GRANDE_ESTADUAL_2019",1
"SANTA CATARINA_SC",2019,"GRANDE_ESTADUAL_2019",0.194413132622011
"SANTANA DE PARNAIBA_SP",2019,"GRANDE_ESTADUAL_2019",0.903636488539695
"SANTO ANDRE_SP",2019,"GRANDE_ESTADUAL_2019",0.626293066652226
"SAO GONCALO_RJ",2019,"GRANDE_ESTADUAL_2019",0.171665770942152
"SAO JOSE DOS PINHAIS_PR",2019,"GRANDE_ESTADUAL_2019",0.931632576390619
"SAO PAULO_SP",2019,"GRANDE_ESTADUAL_2019",0.120248995841367
"SERGIPE_SE",2019,"GRANDE_ESTADUAL_2019",0.160171844698192
"SERRA_ES",2019,"GRANDE_ESTADUAL_2019",0.392350794343601
"TAUBATE_SP",2019,"GRANDE_ESTADUAL_2019",0.274183228247784
"ALAGOAS_AL",2020,"GRANDE_ESTADUAL_2020",0.467125199803551
"ARAPIRACA_AL",2020,"GRANDE_ESTADUAL_2020",0.547315841468399
"BAURU_SP",2020,"GRANDE_ESTADUAL_2020",0.471790947645813
"BOA VISTA_RR",2020,"GRANDE_ESTADUAL_2020",0.71532569085795
"CABO FRIO_RJ",2020,"GRANDE_ESTADUAL_2020",1
"CAMACARI_BA",2020,"GRANDE_ESTADUAL_2020",0.550163443627967
"CEARA_CE",2020,"GRANDE_ESTADUAL_2020",0.618321462258633
"CONTAGEM_MG",2020,"GRANDE_ESTADUAL_2020",0.334613733510387
"FEIRA DE SANTANA_BA",2020,"GRANDE_ESTADUAL_2020",0.283279392826482
"FLORIANOPOLIS_SC",2020,"GRANDE_ESTADUAL_2020",0.237229455203448
