"RPPS","Ano","Grupo","Eficiencia"
"ACRE_AC",2019,"_2019",0.115587707725886
"AGUAS BELAS_PE",2019,"_2019",0.551485536172225
"ALOANDIA_GO",2019,"_2019",0.974978452972232
"ALTA FLORESTA_MT",2019,"_2019",0.788006133629525
"ANAPOLIS_GO",2019,"_2019",0.25660273179552
"ANDIRA_PR",2019,"_2019",0.691717673809671
"AQUIDAUANA_MS",2019,"_2019",0.682463776153599
"ARACAJU_SE",2019,"_2019",0.81929444455605
"ARAPIRACA_AL",2019,"_2019",0.388538895620649
"ARAPOTI_PR",2019,"_2019",0.783299286894177
"ARARAS_SP",2019,"_2019",0.638584370708819
"ARMACAO DOS BUZIOS_RJ",2019,"_2019",0.571450731886382
"ASSIS_SP",2019,"_2019",0.754768611197622
"ATALAIA_AL",2019,"_2019",0.434167290598631
"BAHIA_BA",2019,"_2019",0.0802805827597049
"BALNEARIO BARRA DO SUL_SC",2019,"_2019",0.854329446595586
"BARRA VELHA_SC",2019,"_2019",0.653277461022006
"BEBERIBE_CE",2019,"_2019",0.596096163774679
"BELFORD ROXO_RJ",2019,"_2019",0.318874960121579
"BIGUACU_SC",2019,"_2019",0.664368878454955
"BILAC_SP",2019,"_2019",0.80839871107589
"BOA VISTA_RR",2019,"_2019",0.881807396135906
"BOM JESUS_PI",2019,"_2019",0.741995829955475
"CABO FRIO_RJ",2019,"_2019",0.448776476849489
"CACADOR_SC",2019,"_2019",0.64997353402886
"CACHOEIRAS DE MACACU_RJ",2019,"_2019",0.573506296212744
"CACU_GO",2019,"_2019",0.664758016651079
"CALDAS NOVAS_GO",2019,"_2019",0.501712076470787
"CAMACARI_BA",2019,"_2019",0.481346478063734
"CAMAQUA_RS",2019,"_2019",0.478286098681677
"CAMPINA GRANDE_PB",2019,"_2019",0.221369313357157
"CAMPINAS_SP",2019,"_2019",0.517302258549954
"CAMPO FORMOSO_BA",2019,"_2019",0.667455552437437
"CAMPO GRANDE_MS",2019,"_2019",0.135284287747569
"CAMPO LARGO_PR",2019,"_2019",1
"CANGUCU_RS",2019,"_2019",0.765521042958707
"CANOINHAS_SC",2019,"_2019",0.525416271491834
"CANTAGALO_RJ",2019,"_2019",0.67023100495833
"CARANDAI_MG",2019,"_2019",0.735170483817196
"CARIRIACU_CE",2019,"_2019",0.817713506533553
"CARMO DO CAJURU_MG",2019,"_2019",0.789859048683076
"CARPINA_PE",2019,"_2019",0.450531140223213
"CAXIAS DO SUL_RS",2019,"_2019",0.425342124726751
"CEARA_CE",2019,"_2019",0.136781908549586
"CERQUEIRA CESAR_SP",2019,"_2019",0.6333027111031
"CIDREIRA_RS",2019,"_2019",0.774188811103147
"CONTAGEM_MG",2019,"_2019",0.344791941115574
"CRIXAS_GO",2019,"_2019",0.645784196228837
"CUSTODIA_PE",2019,"_2019",0.601205817336575
"DIADEMA_SP",2019,"_2019",0.510479250690243
"DOMINGOS MARTINS_ES",2019,"_2019",0.815775344152539
"DUAS BARRAS_RJ",2019,"_2019",1
