"RPPS","Ano","Grupo","Eficiencia"
"AGUDO_RS",2019,"todos_2019",0.785156490090144
"ALVINOPOLIS_MG",2019,"todos_2019",0.910465193886608
"ANDIRA_PR",2019,"todos_2019",0.713356512380589
"AQUIDAUANA_MS",2019,"todos_2019",0.74156448645919
"ARACARIGUAMA_SP",2019,"todos_2019",0.801193141176095
"ARAPIRACA_AL",2019,"todos_2019",0.455718120569746
"ARAPOTI_PR",2019,"todos_2019",0.816884902516065
"ARMACAO DOS BUZIOS_RJ",2019,"todos_2019",0.670723302832577
"BAHIA_BA",2019,"todos_2019",0.571528604547389
"BALNEARIO BARRA DO SUL_SC",2019,"todos_2019",0.854329446595586
"BARRA VELHA_SC",2019,"todos_2019",0.688965442077755
"BEBERIBE_CE",2019,"todos_2019",0.688420219624666
"BOA VISTA_RR",2019,"todos_2019",0.963177800338558
"BURITAMA_SP",2019,"todos_2019",0.75568662081299
"BURITICUPU_MA",2019,"todos_2019",0.985934089579249
"BURITIS_RO",2019,"todos_2019",0.825731380309491
"CACADOR_SC",2019,"todos_2019",0.762913052970217
"CAMACARI_BA",2019,"todos_2019",0.666028876965146
"CAMPANHA_MG",2019,"todos_2019",0.859899606323897
"CAMPO FORMOSO_BA",2019,"todos_2019",0.748949117747203
"CANOINHAS_SC",2019,"todos_2019",0.616807640487409
"CANTAGALO_RJ",2019,"todos_2019",0.674655602602268
"CARIRIACU_CE",2019,"todos_2019",0.817713506533553
"CARMO DO CAJURU_MG",2019,"todos_2019",0.789859048683076
"CARMO DO PARANAIBA_MG",2019,"todos_2019",0.705902568596021
"CASCAVEL_CE",2019,"todos_2019",0.703224659654412
"CAXIAS DO SUL_RS",2019,"todos_2019",0.829694523116896
"CERQUEIRA CESAR_SP",2019,"todos_2019",0.692076237312167
"CHAPADAO DO SUL_MS",2019,"todos_2019",0.8379759852814
"CONCEICAO DA BARRA_ES",2019,"todos_2019",0.942864840045576
"CORBELIA_PR",2019,"todos_2019",0.829109406871068
"COROMANDEL_MG",2019,"todos_2019",0.752736774880363
"DOM PEDRITO_RS",2019,"todos_2019",0.710632300768276
"DUAS BARRAS_RJ",2019,"todos_2019",1
"ENCRUZILHADA DO SUL_RS",2019,"todos_2019",0.724641479998571
"ESTANCIA VELHA_RS",2019,"todos_2019",0.80323932422143
"FERNANDOPOLIS_SP",2019,"todos_2019",0.692696127997305
"FLORIANOPOLIS_SC",2019,"todos_2019",0.284185545567323
"FORMIGA_MG",2019,"todos_2019",0.73398841496809
"FRANCISCO SA_MG",2019,"todos_2019",0.817311947880765
"GARRUCHOS_RS",2019,"todos_2019",1
"GODOY MOREIRA_PR",2019,"todos_2019",1
"GOIAS_GO",2019,"todos_2019",0.4771243831592
"GONCALVES_MG",2019,"todos_2019",0.938056883351429
"GUAJARA-MIRIM_RO",2019,"todos_2019",0.674369560561607
"GUAPORE_RS",2019,"todos_2019",0.863756894470135
"GUARANIACU_PR",2019,"todos_2019",0.823335864656719
"HOLAMBRA_SP",2019,"todos_2019",0.792979675016127
"IGARACU DO TIETE_SP",2019,"todos_2019",0.863316801961756
