"RPPS","Ano","Grupo","Eficiencia"
"BAHIA_BA",2019,"ESTADO_DF_2019",1
"MATO GROSSO_MT",2019,"ESTADO_DF_2019",0.788687075541315
"RIO GRANDE DO NORTE_RN",2019,"ESTADO_DF_2019",1
"SANTA CATARINA_SC",2019,"ESTADO_DF_2019",1
"BAHIA_BA",2020,"ESTADO_DF_2020",0.469904514100957
"MATO GROSSO_MT",2020,"ESTADO_DF_2020",0.481292062284456
"RIO GRANDE DO NORTE_RN",2020,"ESTADO_DF_2020",1
"SANTA CATARINA_SC",2020,"ESTADO_DF_2020",1
"BAHIA_BA",2021,"ESTADO_DF_2021",0.825010186382262
"MATO GROSSO_MT",2021,"ESTADO_DF_2021",0.822391730332409
"RIO GRANDE DO NORTE_RN",2021,"ESTADO_DF_2021",0.815091768798771
"SANTA CATARINA_SC",2021,"ESTADO_DF_2021",1
"BAHIA_BA",2022,"ESTADO_DF_2022",0.415232242511511
"MATO GROSSO_MT",2022,"ESTADO_DF_2022",0.649237925751847
"RIO GRANDE DO NORTE_RN",2022,"ESTADO_DF_2022",1
"SANTA CATARINA_SC",2022,"ESTADO_DF_2022",1
"BAHIA_BA",2023,"ESTADO_DF_2023",0.3936952158409
"MATO GROSSO_MT",2023,"ESTADO_DF_2023",1
"RIO GRANDE DO NORTE_RN",2023,"ESTADO_DF_2023",1
"SANTA CATARINA_SC",2023,"ESTADO_DF_2023",1
"BAHIA_BA",2024,"ESTADO_DF_2024",0.688842211929145
"MATO GROSSO_MT",2024,"ESTADO_DF_2024",1
"RIO GRANDE DO NORTE_RN",2024,"ESTADO_DF_2024",1
"SANTA CATARINA_SC",2024,"ESTADO_DF_2024",1
"ANAPOLIS_GO",2019,"GRANDE_PORTE_2019",0.320662138718474
"BOA VISTA_RR",2019,"GRANDE_PORTE_2019",0.999795023871272
"CAXIAS DO SUL_RS",2019,"GRANDE_PORTE_2019",0.829694523116896
"CONTAGEM_MG",2019,"GRANDE_PORTE_2019",0.482649795802316
"FLORIANOPOLIS_SC",2019,"GRANDE_PORTE_2019",0.284185545567323
"LONDRINA_PR",2019,"GRANDE_PORTE_2019",0.362365895838976
"MARABA_PA",2019,"GRANDE_PORTE_2019",1
"MARINGA_PR",2019,"GRANDE_PORTE_2019",0.80344668276404
"NATAL_RN",2019,"GRANDE_PORTE_2019",0.786532435480245
"PALMAS_TO",2019,"GRANDE_PORTE_2019",1
"PELOTAS_RS",2019,"GRANDE_PORTE_2019",0.449453418524191
"TAUBATE_SP",2019,"GRANDE_PORTE_2019",0.415570141348088
"ANAPOLIS_GO",2020,"GRANDE_PORTE_2020",0.242474124521674
"BOA VISTA_RR",2020,"GRANDE_PORTE_2020",1
"CAXIAS DO SUL_RS",2020,"GRANDE_PORTE_2020",0.5352439843286
"CONTAGEM_MG",2020,"GRANDE_PORTE_2020",0.339586049259546
"FLORIANOPOLIS_SC",2020,"GRANDE_PORTE_2020",0.244556548513506
"LONDRINA_PR",2020,"GRANDE_PORTE_2020",0.264383349995732
"MARABA_PA",2020,"GRANDE_PORTE_2020",1
"MARINGA_PR",2020,"GRANDE_PORTE_2020",0.558960761037213
"NATAL_RN",2020,"GRANDE_PORTE_2020",0.867124522880708
"PALMAS_TO",2020,"GRANDE_PORTE_2020",1
"PELOTAS_RS",2020,"GRANDE_PORTE_2020",0.52729123401561
"TAUBATE_SP",2020,"GRANDE_PORTE_2020",0.487298179853447
"ANAPOLIS_GO",2021,"GRANDE_PORTE_2021",0.703282507149745
"BOA VISTA_RR",2021,"GRANDE_PORTE_2021",1
"CAXIAS DO SUL_RS",2021,"GRANDE_PORTE_2021",0.775657478888881
"CONTAGEM_MG",2021,"GRANDE_PORTE_2021",0.700239082781919
"FLORIANOPOLIS_SC",2021,"GRANDE_PORTE_2021",0.687274501772975
"LONDRINA_PR",2021,"GRANDE_PORTE_2021",0.736117003321247
"MARABA_PA",2021,"GRANDE_PORTE_2021",0.959868787301112
"MARINGA_PR",2021,"GRANDE_PORTE_2021",0.72733325725861
"NATAL_RN",2021,"GRANDE_PORTE_2021",1
"PALMAS_TO",2021,"GRANDE_PORTE_2021",1
"PELOTAS_RS",2021,"GRANDE_PORTE_2021",1
"TAUBATE_SP",2021,"GRANDE_PORTE_2021",1
"ANAPOLIS_GO",2022,"GRANDE_PORTE_2022",0.393874434905991
"BOA VISTA_RR",2022,"GRANDE_PORTE_2022",1
"CAXIAS DO SUL_RS",2022,"GRANDE_PORTE_2022",0.661530814688338
"CONTAGEM_MG",2022,"GRANDE_PORTE_2022",0.545130132123899
"FLORIANOPOLIS_SC",2022,"GRANDE_PORTE_2022",0.375162508881789
"LONDRINA_PR",2022,"GRANDE_PORTE_2022",0.387463791966619
"MARABA_PA",2022,"GRANDE_PORTE_2022",1
"MARINGA_PR",2022,"GRANDE_PORTE_2022",0.617754255406667
"NATAL_RN",2022,"GRANDE_PORTE_2022",0.915883873106429
"PALMAS_TO",2022,"GRANDE_PORTE_2022",1
"PELOTAS_RS",2022,"GRANDE_PORTE_2022",0.801450591269251
"TAUBATE_SP",2022,"GRANDE_PORTE_2022",0.565352195269816
"ANAPOLIS_GO",2023,"GRANDE_PORTE_2023",0.184381816290425
"BOA VISTA_RR",2023,"GRANDE_PORTE_2023",1
"CAXIAS DO SUL_RS",2023,"GRANDE_PORTE_2023",0.529227600528388
"CONTAGEM_MG",2023,"GRANDE_PORTE_2023",0.410322715979915
"FLORIANOPOLIS_SC",2023,"GRANDE_PORTE_2023",0.173483144311068
"LONDRINA_PR",2023,"GRANDE_PORTE_2023",0.229305915151054
"MARABA_PA",2023,"GRANDE_PORTE_2023",0.926724499474764
"MARINGA_PR",2023,"GRANDE_PORTE_2023",0.691988140022074
"NATAL_RN",2023,"GRANDE_PORTE_2023",0.780927055446407
"PALMAS_TO",2023,"GRANDE_PORTE_2023",1
"PELOTAS_RS",2023,"GRANDE_PORTE_2023",1
"TAUBATE_SP",2023,"GRANDE_PORTE_2023",0.319905229777886
"ANAPOLIS_GO",2024,"GRANDE_PORTE_2024",0.234266392789894
"BOA VISTA_RR",2024,"GRANDE_PORTE_2024",1
"CAXIAS DO SUL_RS",2024,"GRANDE_PORTE_2024",0.601856929540005
"CONTAGEM_MG",2024,"GRANDE_PORTE_2024",0.427262838522374
"FLORIANOPOLIS_SC",2024,"GRANDE_PORTE_2024",0.225592013279427
"LONDRINA_PR",2024,"GRANDE_PORTE_2024",0.360270881707193
"MARABA_PA",2024,"GRANDE_PORTE_2024",1
"MARINGA_PR",2024,"GRANDE_PORTE_2024",1
"NATAL_RN",2024,"GRANDE_PORTE_2024",0.828291166084452
"PALMAS_TO",2024,"GRANDE_PORTE_2024",1
"PELOTAS_RS",2024,"GRANDE_PORTE_2024",1
"TAUBATE_SP",2024,"GRANDE_PORTE_2024",0.336588077009788
"AGUDO_RS",2019,"MÉDIO_PORTE_2019",0.79719665785897
"ALTINOPOLIS_SP",2019,"MÉDIO_PORTE_2019",0.831095616710344
"ANDIRA_PR",2019,"MÉDIO_PORTE_2019",0.725647105723266
"AQUIDAUANA_MS",2019,"MÉDIO_PORTE_2019",0.778044927366452
"ARACARIGUAMA_SP",2019,"MÉDIO_PORTE_2019",0.801193141176095
"ARMACAO DOS BUZIOS_RJ",2019,"MÉDIO_PORTE_2019",0.798662378555997
"BAEPENDI_MG",2019,"MÉDIO_PORTE_2019",0.816357846676659
"BARRA VELHA_SC",2019,"MÉDIO_PORTE_2019",0.709964671119681
"BEBERIBE_CE",2019,"MÉDIO_PORTE_2019",0.751433392183057
"BOM DESPACHO_MG",2019,"MÉDIO_PORTE_2019",0.725667662416391
"CACADOR_SC",2019,"MÉDIO_PORTE_2019",0.896694981706886
"CAIEIRAS_SP",2019,"MÉDIO_PORTE_2019",0.875607851229718
"CAMBARA_PR",2019,"MÉDIO_PORTE_2019",0.795133947196368
